,"Date: 2/14/18, 1:30-2:20 pm Class: Tutorial CE Instructor: Dake Zhou, Alex Chang No. Students: 17 Arranged how? Tutorial",,,,,,,,,,,,,,,,,,,,,,,,,
,"Notes: Work and Conservation of Energy, pg 31-35. Homework, same topic, problems 3-4. Exam next Thursday, 2/22, emphasis on relative motion, forces, and newtons laws. Students in groups of 4-5, working individually/ together from booklet. Class has one main TA and one grader- grader hands back papers for the first few minutes of class, then joins as regular TA. O- at least one group is not talking to each other the entire time. Only marking SQ when student raises their hand, not questions during 1o1 discussion. TA is 5 minutes late. 2 groups of 4, 3 groups of 3.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Students Doing,,,,,,,,,,,,,Instructor Doing,,,,,,,,,,,,
Time,L,IND,CG,WG,OG,AnQ,SQ,WC,Prd,SP,T/Q,W,O,Lec,RtW,Fup,PQ,CQ,AnQ,MG,1o1,D/V,Adm,W,O,Notes
2,,,,X,,,,,,,,,,,,,,,,X,X,,,,,
4,,,,X,,,,,,,,,,,,,,,,X,X,,,,,
6,,,,X,,,,,,,,,,,,,,,,X ,X,,,,,
8,,,,X,,,X,,,,,,,,,,,,,X,X,,,,,
10,,,,X,,,X,,,,,,,,,,,,,X,X,,,,,
12,,,,X,,,,,,,,,,,,,,,,X,X,,,,,
14,,,,X,,,X,,,,,,X,,,,,,,X,X,,X,,,
16,,,,X,,,,,,,,,X,,,,,,,X,X,,,,,
18,,,,X,,,X,,,,,,,,,,,,,X,,,X,X,,Talking to each other at front of room
20,,,,X,,,,,,,,,,,,,,,,X,X,,,,,
